保險商品名稱,基金代碼,基金名稱,一個月％,三個月％,六個月％,今年來％,一年％,二年％,三年％,五年％,成立來％
超越變額萬能壽險<已停售/暫時停止銷售>,UL0001,復華貨幣市場證券投資信託基金,0.13,0.38,0.72,0.88,1.39,2.79,4.06,5.26,53.23
超越變額萬能壽險<已停售/暫時停止銷售>,UL0002,復華傳家基金,4.81,2.01,50.14,69.58,113.08,153.1,219.12,210.27,845.38
超越變額萬能壽險<已停售/暫時停止銷售>,UL0003,統一統信證券投資信託基金,12.24,1.88,65.0,88.22,145.02,214.69,327.84,388.57,7532.03
超越變額萬能壽險<已停售/暫時停止銷售>,UL0004,統一強棒基金,0.13,0.39,0.77,0.95,1.53,3.1,4.46,5.75,78.3
超越變額萬能壽險<已停售/暫時停止銷售>,UL0005,台新台灣富貴基金,10.13,1.33,63.06,91.87,153.18,194.62,232.69,251.43,3211.8
超越變額萬能壽險<已停售/暫時停止銷售>,UL0007,富蘭克林坦伯頓全球投資系列美國政府基金,-0.22,-0.4,-1.71,-0.07,2.71,4.71,11.33,-2.2,86.83
超越變額萬能壽險<已停售/暫時停止銷售>,UL0008,富蘭克林坦伯頓成長基金,3.91,3.2,4.34,7.26,13.39,31.84,47.96,44.34,-
超越變額萬能壽險<已停售/暫時停止銷售>,UL0009,富蘭克林高科技基金,1.58,0.13,19.32,10.37,14.54,44.06,87.51,43.91,-
超越變額萬能壽險<已停售/暫時停止銷售>,UL0010,安聯歐洲債券基金,-0.18,0.7,-0.77,0.13,0.61,2.87,8.23,-5.52,974.25
超越變額萬能壽險<已停售/暫時停止銷售>,UL0011,安聯全球生物科技基金,1.05,13.54,15.77,13.53,41.27,26.13,41.12,18.79,303.81
超越變額萬能壽險<已停售/暫時停止銷售>,UL0014,富蘭克林坦伯頓全球投資系列全球平衡基金,4.35,7.89,7.97,16.89,25.55,41.23,55.22,47.05,475.02
超越變額萬能壽險<已停售/暫時停止銷售>,UL0019,宏利台灣動力基金,8.94,1.1,56.15,79.39,131.19,153.48,198.91,265.62,1848.0
超越變額萬能壽險<已停售/暫時停止銷售>,UL0022,安聯全球資源基金,13.39,-4.21,2.6,19.91,64.24,86.64,82.64,86.65,517.32
超越變額萬能壽險<已停售/暫時停止銷售>,UL0023,安聯國際債券基金,-0.55,0.78,-0.22,0.4,0.57,-2.37,2.82,-11.17,608.26
超越變額萬能壽險<已停售/暫時停止銷售>,UL0024,安聯東方入息基金A類股份,7.42,-5.1,11.08,28.6,36.43,64.59,85.53,56.9,836.47
超越變額萬能壽險<已停售/暫時停止銷售>,UL0025,安聯小龍基金,2.29,-3.62,16.64,38.14,37.48,68.16,76.45,27.22,-
超越變額萬能壽險<已停售/暫時停止銷售>,UL0027,安聯全球生技趨勢基金,2.82,12.71,9.64,11.3,37.53,18.43,35.95,26.92,479.0
超越變額萬能壽險<已停售/暫時停止銷售>,UL0028,富蘭克林坦伯頓開發中國家基金,1.59,-0.06,15.96,33.02,52.84,93.67,114.71,71.09,-
超越變額萬能壽險<已停售/暫時停止銷售>,UL0029,富蘭克林坦伯頓全球投資系列東歐基金,5.82,12.26,16.3,27.95,27.95,63.16,103.99,-18.8,116.4
超越變額萬能壽險<已停售/暫時停止銷售>,UL0030,台新2000高科技證券投資信託基金,13.28,-0.69,61.48,97.77,162.63,218.28,347.91,391.11,2680.2
超越變額萬能壽險<已停售/暫時停止銷售>,UL0035,富蘭克林坦伯頓全球投資系列拉丁美洲基金,-4.43,-6.73,-8.83,8.88,25.86,38.56,34.61,41.6,769.96
超越變額萬能壽險<已停售/暫時停止銷售>,UL0036,富蘭克林坦伯頓全球投資系列潛力歐洲基金,3.13,7.15,7.56,13.17,19.31,43.94,63.93,63.73,295.4
超越變額萬能壽險<已停售/暫時停止銷售>,UL0037,富蘭克林坦伯頓全球投資系列全球債券基金(美元計價),1.45,1.98,-0.68,3.94,6.13,9.85,12.08,2.56,-
超越變額萬能壽險<已停售/暫時停止銷售>,UL0038,富蘭克林坦伯頓全球投資系列新興國家固定收益基金,0.92,3.82,1.75,6.86,15.88,31.41,46.77,25.79,-
超越變額萬能壽險<已停售/暫時停止銷售>,UL0048,iShares S&P Global 100 Index Fund,4.43,1.85,15.01,14.55,26.69,55.15,96.29,108.34,575.99
優越變額萬能終身壽險<已停售/暫時停止銷售>,UL0001,復華貨幣市場證券投資信託基金,0.13,0.38,0.72,0.88,1.39,2.79,4.06,5.26,53.23
優越變額萬能終身壽險<已停售/暫時停止銷售>,UL0002,復華傳家基金,4.81,2.01,50.14,69.58,113.08,153.1,219.12,210.27,845.38
優越變額萬能終身壽險<已停售/暫時停止銷售>,UL0003,統一統信證券投資信託基金,12.24,1.88,65.0,88.22,145.02,214.69,327.84,388.57,7532.03
優越變額萬能終身壽險<已停售/暫時停止銷售>,UL0004,統一強棒基金,0.13,0.39,0.77,0.95,1.53,3.1,4.46,5.75,78.3
優越變額萬能終身壽險<已停售/暫時停止銷售>,UL0005,台新台灣富貴基金,10.13,1.33,63.06,91.87,153.18,194.62,232.69,251.43,3211.8
優越變額萬能終身壽險<已停售/暫時停止銷售>,UL0007,富蘭克林坦伯頓全球投資系列美國政府基金,-0.22,-0.4,-1.71,-0.07,2.71,4.71,11.33,-2.2,86.83
優越變額萬能終身壽險<已停售/暫時停止銷售>,UL0008,富蘭克林坦伯頓成長基金,3.91,3.2,4.34,7.26,13.39,31.84,47.96,44.34,-
優越變額萬能終身壽險<已停售/暫時停止銷售>,UL0009,富蘭克林高科技基金,1.58,0.13,19.32,10.37,14.54,44.06,87.51,43.91,-
優越變額萬能終身壽險<已停售/暫時停止銷售>,UL0010,安聯歐洲債券基金,-0.18,0.7,-0.77,0.13,0.61,2.87,8.23,-5.52,974.25
優越變額萬能終身壽險<已停售/暫時停止銷售>,UL0011,安聯全球生物科技基金,1.05,13.54,15.77,13.53,41.27,26.13,41.12,18.79,303.81
優越變額萬能終身壽險<已停售/暫時停止銷售>,UL0014,富蘭克林坦伯頓全球投資系列全球平衡基金,4.35,7.89,7.97,16.89,25.55,41.23,55.22,47.05,475.02
優越變額萬能終身壽險<已停售/暫時停止銷售>,UL0019,宏利台灣動力基金,8.94,1.1,56.15,79.39,131.19,153.48,198.91,265.62,1848.0
優越變額萬能終身壽險<已停售/暫時停止銷售>,UL0022,安聯全球資源基金,13.39,-4.21,2.6,19.91,64.24,86.64,82.64,86.65,517.32
優越變額萬能終身壽險<已停售/暫時停止銷售>,UL0023,安聯國際債券基金,-0.55,0.78,-0.22,0.4,0.57,-2.37,2.82,-11.17,608.26
優越變額萬能終身壽險<已停售/暫時停止銷售>,UL0024,安聯東方入息基金A類股份,7.42,-5.1,11.08,28.6,36.43,64.59,85.53,56.9,836.47
優越變額萬能終身壽險<已停售/暫時停止銷售>,UL0025,安聯小龍基金,2.29,-3.62,16.64,38.14,37.48,68.16,76.45,27.22,-
